gene_id,FPKM,TPM
Tubb4b,2849.898703,96.75630973702867
Rasal3,4605.00314,156.3434902738119
Myl12b,1637.569227,55.596767413749944
Crem,7905.23338,268.38891103519273
Nepro,3985.632199,135.31535809970111
Smad5,3301.55086,112.09025685244274
Ubl3,6534.429463,221.84903639250297
Rapgef2,30551.23104,1037.2384008744064
Bnip3l,5224.374082,177.37162248187352
Unc13d,747.4711148,25.377234154652314
Kdm5b,11124.90578,377.69932956278154
Ccr4,4206.175796,142.80298724223434
Pola2,361.8499743,12.285092152521559
Adipor2,9330.182732,316.76706592068246
Pttg1ip,6523.8645,221.49034756215534
Pkn2,7375.664622,250.40963383415968
Foxm1,554.6605446,18.831163155284475
Nr2c2,6537.070704,221.93870860857757
Aldh3a1,1259.871808,42.77364200891681
Bmt2,1959.800591,66.5367764847212
Jag1,3292.306518,111.77640414710783
Ccr2,3120.625873,105.94771078127458
Bckdk,142.6269972,4.8422990976551645
Tcf12,7711.10219,261.79800395155314
Btbd7,4980.059318,169.07694346257043
Coro2a,3117.984633,105.85803859915077
Ets1,45416.13364,1541.9135735962782
Fam91a1,8547.054868,290.17925699501143
Oser1,2140.725578,72.67932255588937
Abcb9,1044.610692,35.465357264581996
Ptbp2,4682.91974,158.98882032548013
Kbtbd2,6591.216138,223.77698881742674
Prps1l3,4240.511925,143.96872591540097
Lat2,1084.229303,36.81044036989785
Birc3,909.9074171,30.89207479138508
Nopchap1,4104.48803,139.3506073477471
Ganab,3912.99808,132.8493724462313
Adss,7540.742165,256.0141466767818
Pola1,445.049056,15.109766626153739
Slc7a8,982.5415361,33.35806044485489
Scly,303.7426792,10.312303633140795
Il27ra,1493.621609,50.709632197872246
Daam1,6637.43785,225.34625241200294
Fam199x,2905.364757,98.63942603693977
Pcyt1a,14389.47927,488.5341755259831
Pgghg,103.0083868,3.497216012709788
Trappc8,7568.475193,256.9557048606882
Avil,155.8332006,5.290660123706903
Crkl,7513.009138,255.0725885268263
Scd2,5311.535024,180.33080523887662
Tipin,379.0180388,12.867961489104884
Gnaq,10699.66603,363.26210450626115
Zfp760,1304.7729,44.29806951243107
Was,1151.58094,39.097081591218455
Tpp1,3405.879868,115.63230899695537
Adamts10,178.2837465,6.052873872068956
Snx18,11032.46236,374.56080250943234
Fam107b,22739.76171,772.0328533231326
