gene_id,FPKM
Cad,7749.813386
4930503L19Rik,5820.697891
Tkt,8329.074635
Pnpla7,1188.36323
Mdc1,2236.299491
Uap1l1,2015.127014
Wdr43,2408.322529
Cdc45,1835.204959
Dedd2,846.0724919
Tm9sf2,3697.617644
Scyl2,2618.085315
Pcnx,694.235831
Plekhg2,2226.645137
Ascc3,2338.109044
Tspan14,2595.265932
Smad7,800.4337268
Cul3,4192.622712
Gem,419.5255717
Casp7,1012.829518
Il13,92377.24896
Txnl4a,4313.740973
Abhd13,1057.590615
Tnrc6b,3478.200504
Nup210,11790.59944
Nrip1,5316.038469
Ipo9,3422.907384
Aqr,3555.435337
Ptpn6,1657.91591
Dcp1a,1410.413376
Rad54l2,2208.214097
Ube4a,3236.84165
Ints6,2220.501457
Arih1,3366.736597
Hdac4,969.8237589
Cyp11a1,58214.00025
Tnfrsf8,16895.11978
Lilrb4b,23461.83595
Ccnf,1981.775609
Desi1,1743.04976
Anxa6,17817.54944
Rbm33,2921.758637
Susd6,3650.223541
Vgll4,896.0995999
Dusp1,5083.4563
Vps37a,970.7014275
Ppm1a,796.045384
Rnf115,1097.963369
Ptpn2,3021.812852
Serinc1,7235.49961
Gatad2b,1088.309015
Rab10,5559.15266
Fem1c,1151.501151
Birc2,3221.043616
Fnip1,2014.249345
Rlf,1358.630931
Glg1,3318.464826
Vezf1,1207.671939
Ankrd27,2224.8898
Arhgap5,840.8064806
Skp1,1587.702425
Fhip2a,1215.570956
Dock8,9529.725226
Cntrob,1191.873905
Peg10,14097.99008
Arl14ep,1421.823067
Pik3cg,4412.039852
Ccnt2,2009.861003
Fbxl5,1223.469973
Tbc1d15,2166.963675
Gnai3,6156.844949
Pbk,1109.37306
Ncaph,2857.688832
Map2k4,2398.668175
Washc5,3228.064964
Map4k1,5377.475268
Insig1,2813.805404
Helz2,4600.738592
Phf3,3825.757253
Apobr,4061.850096
Brd8,2812.927735
Arrdc3,540.643833
Kif15,2289.837273
Eif4a2,7697.153272
Samd8,408.993549
Rab11fip1,1571.904391
Rbm12,1421.823067
Jmjd1c,4105.733524
Emd,1755.33712
Zfp943,322.9820301
Marveld1,1484.137535
Ints3,2839.257792
Rmnd5a,2778.698661
Kcnab2,10566.2518
Naa30,838.1734749
Rpa1,6631.66364
Sytl2,7373.293573
Ube3a,1313.869834
Zfp652,1026.872215
Nlrc5,11054.23551
Polq,1241.901013
Tle3,10353.856
Zfp800,1571.026723
Acvr2a,1489.403546
Xrn2,3867.007676
Psd4,10860.27076
Srfbp1,461.6536626
Stap1,942.6160336
Hspa8,47689.87655
Mcm2,7037.146515
Nmur1,14895.7908
Zmym2,1635.974196
Ppp4r3a,3402.721008
Mafk,1220.836967
Zfp36l2,5588.993391
Maml1,1613.154813
Gpbp1l1,1548.20734
Arhgdib,16270.21977
Ythdc1,3145.564119
Ldlr,2112.548224
Emilin2,3419.39671
Wipi2,1216.448624
Rrm1,9148.817071
Gzmb,225648.5868
Trim30a,929.4510052
Clcn3,2289.837273
Bub1,2165.208338
A330023F24Rik,24.57471968
Fem1b,1109.37306
Tsc22d2,1176.953539
Arf4,4472.598982
Trpv2,5920.752106
Ap2a2,1932.626169
Tbl1xr1,3407.987019
Mxi1,319.4713559
Rab4a,871.5248802
Pum1,2651.43672
Alg10b,1435.865764
Mtmr2,1319.135846
Rlim,2073.053139
Wdr90,780.2473499
Gripap1,1537.675317
Nfil3,2538.217476
Myo18a,3058.674932
Tcf19,1836.082628
Osbpl9,1463.07349
Tut4,1370.040622
Limd1,1955.445552
Snx30,826.7637836
Golim4,2003.717323
Prpf18,1810.630239
Selenot,6822.995386
Tinf2,1322.64652
Txnip,2117.814236
Ankrd13c,1425.333742
Csnk1d,4439.247577
Tfdp1,4115.387878
Cacul1,1938.769849
Zwilch,898.7326055
Dna2,913.6529711
Senp6,7999.948925
Gpr171,1922.094147
Yy1,2896.306248
Elk4,924.1849938
Cdk13,3034.100212
Ankrd11,10025.60796
Tmed10,3013.913835
Uck1,715.2998765
Pofut1,1362.141605
Raf1,2968.27507
Hsph1,3114.84572
Arpc1b,10948.03762
Rdx,4557.732833
Eif4g2,52065.93199
Atf6b,2279.305251
Tbc1d20,1549.085009
Ikzf5,1137.458454
Ugcg,2815.560741
Taf1d,1292.805789
Ndst3,939.9830279
Rsf1,1888.742741
Brd4,4803.480029
Ehbp1l1,12060.92135
Mrpl9,939.9830279
Acap1,7813.005522
Hycc2,503.7817535
Heca,821.4977723
Ddx11,1509.589923
Strap,3628.281827
Abca7,9017.166787
Abl2,1098.841037
Gm9892,1750.071109
Chaf1b,1221.714636
Zfp512b,1651.77223
Zc3h12c,610.8573178
Sipa1l1,10144.97089
Dnaja2,5167.712482
Pten,2502.233065
Zdhhc2,1295.438795
Dipk1c,1468.339501
Eaf1,7009.93879
E2f2,3095.537011
Mapk1,6330.623324
Ppp2r1a,6662.38204
Edem2,2910.348945
Fam117b,491.4943937
Tbc1d14,994.3984786
Cd53,17517.38679
Gpr68,932.9616794
Esco2,1334.056211
Uvrag,1659.671247
Vav1,7941.145132
Asf1b,2802.395712
Smad4,1586.824757
Fam13b,1604.378128
Rad54l,1448.153124
Chd7,3620.38281
Vbp1,1628.952848
Tomm70a,2833.114112
Dck,1757.970126
Slc52a3,922.4296567
Uckl1,795.1677155
Plcb2,1422.700736
Egln3,882.9345715
Spidr,874.1578859
Ric1,1117.272077
Suv39h1,1793.954537
Tbpl1,977.722776
Gmppa,1757.092457
Cyth4,5043.961215
Tcp11l2,346.6790812
Atxn7l3b,1383.205651
Cep170,3151.707799
Golph3,3914.401778
Rbm28,2267.895559
P2rx4,1661.426584
Ascc2,1871.18937
Atg12,1007.563507
Cpeb2,735.4862534
Tor4a,4096.07917
Rabgef1,680.1931341
Zfp706,2739.203576
Bub1b,2927.024648
Tiparp,4936.007982
Capns1,9768.451074
Mex3c,825.0084465
Vapa,1805.364228
Ccdc69,1146.235139
Larp1,14139.2405
Strn3,1202.405927
Gclc,4572.653198
Rab14,2948.088693
Cyth1,2274.039239
Rasgrp4,1856.269005
Gpatch2,511.6807705
Fbxw11,2216.113114
Foxj3,1548.20734
Tnks,1080.409997
Ltb4r1,4898.268234
Pbxip1,2895.42858
Rab6a,2058.132773
Sgpl1,5480.162489
Usp31,1172.565196
