gene_id,FPKM
Ankrd27,2361.704377
Arhgap5,831.993961
Skp1,1481.440724
Fhip2a,1319.079033
Dock8,10516.6494
Cntrob,1235.704111
Peg10,15541.08551
Arl14ep,1491.972293
Pik3cg,4398.685372
Ccnt2,2180.91244
Fbxl5,1243.602788
Tbc1d15,2101.048041
Gnai3,6209.237631
Pbk,1143.552881
Ncaph,2873.36311
Map2k4,2397.687238
Washc5,3094.526062
Map4k1,5303.522686
Insig1,2629.381759
Helz2,5384.264716
Phf3,4103.801436
Apobr,4142.41719
Brd8,2951.472248
Arrdc3,490.5955952
Kif15,2328.354408
Eif4a2,7366.832604
Samd8,389.6680577
Rab11fip1,1658.722137
Rbm12,1463.888109
Jmjd1c,4776.066599
Emd,1598.165615
Zfp943,349.2970427
Marveld1,1434.926294
Ints3,2985.699847
Rmnd5a,2612.706774
Kcnab2,11027.43051
Naa30,869.7320837
Rpa1,6657.70695
Sytl2,7734.559893
Ube3a,1472.664416
Zfp652,1031.216144
Nlrc5,12655.43557
Polq,1243.602788
Tle3,11288.08684
Zfp800,1580.613
Acvr2a,1491.094662
Xrn2,3628.125564
Psd4,11134.50146
Srfbp1,449.3469494
Stap1,914.4912525
Hspa8,48820.84395
Mcm2,7296.622143
Nmur1,15107.53591
Zmym2,1742.97469
Ppp4r3a,3457.865197
Mafk,1238.337003
Zfp36l2,5523.808007
Maml1,1857.94432
Gpbp1l1,1614.840599
Arhgdib,15500.71449
Ythdc1,2787.355296
Ldlr,2152.828256
Emilin2,3557.915103
Wipi2,1125.122635
Rrm1,9264.270309
Gzmb,216071.8156
Trim30a,882.8965451
Clcn3,2495.104252
Bub1,2213.384778
A330023F24Rik,37.7381227
Fem1b,1216.396234
Tsc22d2,1298.893526
Arf4,4131.00799
Trpv2,5804.64985
Ap2a2,2058.921764
Tbl1xr1,3606.184795
Mxi1,332.6220583
Rab4a,827.6058072
Pum1,2957.615663
Alg10b,1281.34091
Mtmr2,1278.708018
Rlim,2328.354408
Wdr90,829.3610687
Gripap1,1506.892016
Nfil3,2433.670099
Myo18a,3218.271999
Tcf19,1811.42989
Osbpl9,1535.853831
Tut4,1284.851433
Limd1,2075.596749
Snx30,791.622946
Golim4,1968.525796
Prpf18,1805.286474
Selenot,6852.540978
Tinf2,1301.526418
Txnip,2159.849302
Ankrd13c,1395.432909
Csnk1d,4431.15771
Tfdp1,4189.809251
Cacul1,1967.648165
Zwilch,925.9004524
Dna2,952.2293752
Senp6,7983.807029
Gpr171,1968.525796
Yy1,2965.51434
Elk4,1090.895035
Cdk13,3126.120769
Ankrd11,11340.74469
Tmed10,2952.349879
Uck1,729.311162
Pofut1,1405.964478
Raf1,3098.036585
Hsph1,3204.229907
Arpc1b,10234.92993
Rdx,4707.6114
Eif4g2,52114.59219
Atf6b,2229.182132
Tbc1d20,1697.337891
Ikzf5,1217.273865
Ugcg,2594.276528
Taf1d,1259.400141
Ndst3,1000.499067
Rsf1,1869.35352
Brd4,5270.172717
Ehbp1l1,11790.09164
Mrpl9,899.5715296
Acap1,7939.04786
Hycc2,551.1521176
Heca,897.8162681
Ddx11,1638.53663
Strap,3434.169166
Abca7,9585.483167
Abl2,1270.809341
Gm9892,1739.464167
Chaf1b,1077.730574
Zfp512b,1722.789183
Zc3h12c,635.4046706
Sipa1l1,11607.54444
Dnaja2,4963.879582
Pten,2417.872745
Zdhhc2,1312.057987
Dipk1c,1418.251309
Eaf1,7350.15762
E2f2,2856.688126
Mapk1,6383.886152
Ppp2r1a,6896.422517
Edem2,2725.921142
Fam117b,522.1903025
Tbc1d14,1021.562205
Cd53,16901.41319
Gpr68,896.0610065
Esco2,1306.792202
Uvrag,1693.827368
Vav1,8007.503059
Asf1b,2875.118372
Smad4,1443.702601
Fam13b,1645.557676
Rad54l,1513.035431
Chd7,3932.663438
Vbp1,1537.609093
Tomm70a,2868.974956
Dck,1749.995737
Slc52a3,959.2504213
Uckl1,803.0321459
Plcb2,1333.121125
Egln3,882.0189144
Spidr,914.4912525
Ric1,1050.52402
Suv39h1,1836.003551
Tbpl1,985.5793441
Gmppa,1617.473492
Cyth4,4874.361244
Tcp11l2,348.4194119
Atxn7l3b,1430.53814
Cep170,3363.081074
Golph3,3735.196517
Rbm28,2306.413639
P2rx4,1778.079921
Ascc2,1893.927181
Atg12,946.0859599
Cpeb2,806.542669
Tor4a,4194.197405
Rabgef1,672.2651626
Zfp706,2648.689635
Bub1b,3098.036585
Tiparp,5157.83598
Capns1,9651.305474
Mex3c,853.93473
Vapa,1653.456353
Ccdc69,1139.164727
Larp1,14898.65979
Strn3,1265.543557
Gclc,4694.446938
Rab14,3098.036585
Cyth1,2355.560961
Rasgrp4,1948.340288
Gpatch2,545.8863331
Fbxw11,2450.345083
Foxj3,1716.645768
Tnks,1219.029126
Ltb4r1,5062.174227
Pbxip1,2896.18151
Rab6a,2259.899208
Sgpl1,5614.203975
Usp31,1139.164727
Ccr8,2547.762098
Ttc7b,2979.556432
Pafah1b1,6099.533786
Ski,3871.229285
Ube2j2,1241.847526
Cnih1,1755.261521
H1f0,5909.087911
Rpl5,193.0787673
Hspa9,7012.269777
Nkrf,329.1115352
Ubr3,1940.441612
Usp47,3465.763873
Tbc1d5,1476.174939
Usp33,1949.217919
Ranbp10,1470.909155
Kif14,1590.266938
Rab7,3758.892547
Tmem19,1095.283189
Gnl3,1571.836692
Kansl1,3155.960215
Adgrl2,1067.199005
Frs2,1133.021312
Amfr,4159.092174
Hnrnpa3,1924.644258
Tubb5,7832.854538
Rrm2,9689.921227
Zc3h13,2687.305389
Fam133b,882.8965451
Exoc2,2344.151761
Mrps30,882.0189144
Klhl15,247.4918745
Dnttip2,1380.513186
Usp7,5565.056653
Lin7c,1892.17192
Slc16a6,1341.897433
Bach1,1103.181866
Ambra1,2287.983393
Psme1,2595.154159
Kdm7a,1199.72125
Fbxo33,2566.192344
Ap1g1,4331.107803
Hacd3,6621.724088
Gys1,1021.562205
Tfb2m,352.8075657
Cd28,4434.668233
Bambi,40.37101499
Mybl2,1440.192078
Hnrnpr,3678.150518
Arl8b,1231.315957
Wdr13,795.1334691
Qtrt2,359.8286118
Cul2,1382.268448
Klhl2,579.236302
Polr1f,698.5940854
Pum2,7006.126362
Kctd10,2289.738654
Taf3,1523.567
Adcy3,1765.79309
Rbm3-ps,2526.69896
Arrdc4,109.7038451
Cul9,1256.767249
Srpr,5262.27404
Nipbl,5792.36302
Api5,4328.474911
Snw1,2156.338779
Klhl24,953.9846367
Bin1,1963.260011
Rhbdf1,155.3406446
Fbxo34,960.1280521
Prkdc,2532.842375
Agfg2,1604.30903
Rgp1,2162.482194
Nelfb,1937.808719
Dnah8,1417.373678
1810013L24Rik,1405.086848
Apbb1ip,3437.679689
Itpkb,1698.215522
Lif,7417.735188
Fkbp8,10224.39836
Cdkn1a,3561.425626
Trpm4,771.4374385
M6pr,8774.552344
Slc9a8,1630.637953
Igf1r,33.3499689
Arhgap4,7745.969093
Tfip11,2279.207085
Sfxn3,1514.790693
Mkln1,1341.019802
Papolg,1056.667436
Rnf19b,1785.100967
Jak1,15541.96314
Aco2,9715.372519
Wdr37,1340.142171
